partida_id,rodada,data,hora,mandante,visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
5618,26,2016-09-18,11:03:00,Flamengo,Figueirense,J. Mannarino,T. Guimarães,Flamengo,Estádio Municipal Paulo Machado de Carvalho,2,0,RJ,SC
5619,26,2016-09-18,16:00:00,Cruzeiro,Atletico-MG,L. Venker de Menezes,M. de Oliveira Santos,-, Mineirão,1,1,MG,MG
5620,26,2016-09-18,16:01:00,Sport,Coritiba,O. de Oliveira Filho,P. Carpegiani,Coritiba,Adelmar da Costa Carvalho,0,1,PE,PR
5621,26,2016-09-18,16:00:00,Gremio,Fluminense,J. Freitas,L. Culpi,Fluminense,Arena do Grêmio,0,1,RS,RJ
5622,26,2016-09-18,16:01:00,Chapecoense,Ponte Preta,L. Saroli Caio Júnior,E. Baptista,-,Arena Condá,2,2,SC,SP
5623,26,2016-09-18,16:00:00,Athletico-PR,Sao Paulo,P. Autuori de Mello,R. Gomes Raymundo,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,SP
5624,26,2016-09-18,18:30:00,Santos,Santa Cruz,D. Silvestre Júnior,D. Ghidoni Junior,Santos,Estádio Municipal Paulo Machado de Carvalho,3,2,SP,PE
5625,26,2016-09-18,18:31:00,Vitoria,Botafogo-RJ,A. Fucks,J. Ribeiro Ventura,Botafogo-RJ, Barradão,0,1,BA,RJ
5626,26,2016-09-19,19:59:00,America-MG,Internacional,E. Alves Moreira,C. Juarez Roth,America-MG,Estádio Raimundo Sampaio,1,0,MG,RS
5627,27,2016-09-24,15:59:00,Palmeiras,Coritiba,A. Stival,P. Carpegiani,Palmeiras,Allianz Parque,2,1,SP,PR
5628,27,2016-09-24,18:34:00,Sport,Santos,O. de Oliveira Filho,D. Silvestre Júnior,Sport,Adelmar da Costa Carvalho,1,0,PE,SP
5629,27,2016-09-24,21:13:00,America-MG,Botafogo-RJ,E. Alves Moreira,J. Ribeiro Ventura,America-MG,Estádio Raimundo Sampaio,1,0,MG,RJ
5630,27,2016-09-25,11:01:00,Athletico-PR,Ponte Preta,P. Autuori de Mello,E. Baptista,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,SP
5631,27,2016-09-25,11:02:00,Figueirense,Santa Cruz,M. dos Santos Gonçalves,D. Ghidoni Junior,Figueirense, Orlando Scarpelli,3,1,SC,PE
5632,27,2016-09-25,15:59:00,Vitoria,Sao Paulo,A. Fucks,R. Gomes Raymundo,Vitoria, Barradão,2,0,BA,SP
5633,27,2016-09-25,16:00:00,Corinthians,Fluminense,F. Carille,L. Culpi,Fluminense,Neo Química Arena,0,1,SP,RJ
5634,27,2016-09-25,16:02:00,Flamengo,Cruzeiro,J. Mannarino,L. Venker de Menezes,Flamengo,Kléber Andrade,2,1,RJ,MG
5635,27,2016-09-25,16:00:00,Gremio,Chapecoense,Renato Gaúcho,L. Saroli Caio Júnior,Gremio,Arena do Grêmio,1,0,RS,SC
5636,27,2016-09-25,18:31:00,Atletico-MG,Internacional,M. de Oliveira Santos,C. Juarez Roth,Atletico-MG,Estádio Raimundo Sampaio,3,1,MG,RS
5637,28,2016-10-01,10:59:00,Fluminense,Sport,L. Culpi,O. de Oliveira Filho,Fluminense,Estádio Giulite Coutinho,3,1,RJ,PE
5638,28,2016-10-01,16:00:00,Sao Paulo,Flamengo,R. Gomes Raymundo,J. Mannarino,-, Morumbi,0,0,SP,RJ
5639,28,2016-10-01,16:00:00,Chapecoense,Vitoria,L. Saroli Caio Júnior,A. Fucks,Vitoria,Arena Condá,1,4,SC,BA
5640,28,2016-10-01,16:03:00,Santos,Athletico-PR,D. Silvestre Júnior,P. Autuori de Mello,Santos,Estádio Urbano Caldeira,2,0,SP,PR
5641,28,2016-10-01,16:30:00,Botafogo-RJ,Corinthians,J. Ribeiro Ventura,F. Carille,Botafogo-RJ,Luso-Brasileiro,2,0,RJ,SP
5642,28,2016-10-01,16:31:00,Ponte Preta,Atletico-MG,E. Baptista,M. de Oliveira Santos,Atletico-MG, Moisés Lucarelli,1,2,SP,MG
5643,28,2016-10-01,18:29:00,Cruzeiro,Gremio,L. Venker de Menezes,Renato Gaúcho,Cruzeiro, Mineirão,1,0,MG,RS
5644,28,2016-10-01,21:00:00,Internacional,Figueirense,C. Juarez Roth,M. dos Santos Gonçalves,Internacional,Estádio José Pinheiro Borda,1,0,RS,SC
5645,28,2016-10-03,19:59:00,Santa Cruz,Palmeiras,D. Ghidoni Junior,A. Stival,Palmeiras,Estádio do Arruda,2,3,PE,SP
5646,28,2016-10-03,21:01:00,Coritiba,America-MG,P. Carpegiani,E. Alves Moreira,Coritiba, Couto Pereira,3,0,PR,MG
5647,29,2016-10-05,19:30:00,Athletico-PR,Chapecoense,P. Autuori de Mello,L. Saroli Caio Júnior,Athletico-PR,Estádio Joaquim Américo Guimarães,3,1,PR,SC
5648,29,2016-10-05,19:29:00,Vitoria,Gremio,A. Fucks,Renato Gaúcho,Gremio,Itaipava Arena Fonte Nova,0,1,BA,RS
5649,29,2016-10-05,21:00:00,Corinthians,Atletico-MG,F. Carille,M. de Oliveira Santos,-,Neo Química Arena,0,0,SP,MG
5650,29,2016-10-05,21:01:00,Santos,Fluminense,D. Silvestre Júnior,L. Culpi,Santos,Estádio Urbano Caldeira,2,1,SP,RJ
5651,29,2016-10-05,21:44:00,Sport,Sao Paulo,O. de Oliveira Filho,R. Gomes Raymundo,-,Adelmar da Costa Carvalho,1,1,PE,SP
5652,29,2016-10-06,19:29:00,Internacional,Coritiba,C. Juarez Roth,P. Carpegiani,Internacional,Estádio José Pinheiro Borda,1,0,RS,PR
5653,29,2016-10-08,21:00:00,Cruzeiro,Ponte Preta,L. Venker de Menezes,E. Baptista,Cruzeiro, Mineirão,2,0,MG,SP
5654,29,2016-10-09,17:00:00,Flamengo,Santa Cruz,J. Mannarino,D. Ghidoni Junior,Flamengo,Estádio Municipal Paulo Machado de Carvalho,3,0,RJ,PE
5655,29,2016-10-09,17:00:00,America-MG,Palmeiras,E. Alves Moreira,A. Stival,Palmeiras,  Estádio do Café,0,2,MG,SP
5656,29,2016-10-09,17:02:00,Figueirense,Botafogo-RJ,M. dos Santos Gonçalves,J. Ribeiro Ventura,Botafogo-RJ, Orlando Scarpelli,0,1,SC,RJ
5657,30,2016-10-12,11:02:00,Chapecoense,Sport,L. Saroli Caio Júnior,O. de Oliveira Filho,Chapecoense,Arena Condá,3,0,SC,PE
5658,30,2016-10-12,19:30:00,Coritiba,Figueirense,P. Carpegiani,M. dos Santos Gonçalves,-, Couto Pereira,0,0,PR,SC
5659,30,2016-10-12,21:44:00,Santa Cruz,Corinthians,D. Ghidoni Junior,F. Carille,Corinthians,Arena Pantanal,2,4,PE,SP
5660,30,2016-10-12,21:45:00,Botafogo-RJ,Internacional,J. Ribeiro Ventura,C. Juarez Roth,Botafogo-RJ,Luso-Brasileiro,1,0,RJ,RS
5661,30,2016-10-13,19:32:00,Palmeiras,Cruzeiro,A. Stival,L. Venker de Menezes,-,Estádio Doutor Adhemar de Barros,0,0,SP,MG
5662,30,2016-10-13,19:30:00,Ponte Preta,Vitoria,E. Baptista,A. Fucks,Ponte Preta, Moisés Lucarelli,2,0,SP,BA
5663,30,2016-10-13,19:30:00,Atletico-MG,America-MG,M. de Oliveira Santos,E. Alves Moreira,Atletico-MG, Mineirão,3,0,MG,MG
5664,30,2016-10-13,21:00:00,Fluminense,Flamengo,L. Culpi,J. Mannarino,Flamengo,Estádio Municipal General Raulino de Oliveira,1,2,RJ,RJ
5665,30,2016-10-13,21:03:00,Sao Paulo,Santos,R. Gomes Raymundo,D. Silvestre Júnior,Santos,Estádio Municipal Paulo Machado de Carvalho,0,1,SP,SP
5666,30,2016-10-13,20:59:00,Gremio,Athletico-PR,Renato Gaúcho,P. Autuori de Mello,Gremio,Arena do Grêmio,1,0,RS,PR
5667,31,2016-10-16,17:00:00,Botafogo-RJ,Atletico-MG,J. Ribeiro Ventura,M. de Oliveira Santos,Botafogo-RJ,Luso-Brasileiro,3,2,RJ,MG
5668,31,2016-10-16,17:00:00,Cruzeiro,Chapecoense,L. Venker de Menezes,L. Saroli Caio Júnior,-, Mineirão,0,0,MG,SC
5669,31,2016-10-16,17:00:00,Athletico-PR,Coritiba,P. Autuori de Mello,P. Carpegiani,Athletico-PR,Vila Capanema,2,0,PR,PR
5670,31,2016-10-16,17:00:00,Internacional,Flamengo,C. Juarez Roth,J. Mannarino,Internacional,Estádio José Pinheiro Borda,2,1,RS,RJ
5671,31,2016-10-16,17:02:00,Figueirense,Palmeiras,M. dos Santos Gonçalves,A. Stival,Palmeiras, Orlando Scarpelli,1,2,SC,SP
5672,31,2016-10-16,18:31:00,Corinthians,America-MG,O. de Oliveira Filho,E. Alves Moreira,Corinthians,Neo Química Arena,2,0,SP,MG
5673,31,2016-10-16,18:31:00,Ponte Preta,Santa Cruz,E. Baptista,D. Ghidoni Junior,Ponte Preta, Moisés Lucarelli,3,0,SP,PE
5674,31,2016-10-16,19:32:00,Santos,Gremio,D. Silvestre Júnior,Renato Gaúcho,-,Estádio Urbano Caldeira,1,1,SP,RS
5675,31,2016-10-16,19:30:00,Sport,Vitoria,D. Pollo Barioni,A. Fucks,Sport,Adelmar da Costa Carvalho,1,0,PE,BA
5676,31,2016-10-17,19:59:00,Fluminense,Sao Paulo,L. Culpi,R. Gomes Raymundo,Sao Paulo,Estádio Giulite Coutinho,1,2,RJ,SP
5677,32,2016-10-19,21:45:00,Santa Cruz,Botafogo-RJ,D. Ghidoni Junior,J. Ribeiro Ventura,Botafogo-RJ,Estádio do Arruda,0,1,PE,RJ
