partida_id,clube,cartao,atleta,posicao,minuto
5009,Gremio,Amarelo,Walace,Meio-campo,40
5009,Figueirense,Amarelo,Leandro Silva,Zagueiro,90+2
5009,Figueirense,Amarelo,Fabinho,Meio-campo,57
5009,Figueirense,Amarelo,Yago Rocha,Meio-campo,32
5008,Internacional,Vermelho,Alan Ruschel,Meio-campo,68
5007,Sao Paulo,Amarelo,Alexandre Pato,,86
5008,Vasco,Amarelo,Gilberto Oliveira Souza Junior,Atacante,76
5008,Vasco,Amarelo,Yago Moreira Silva,,65
5008,Vasco,Amarelo,Sérgio Antônio Borges Júnior,Meio-campo,42
5008,Internacional,Amarelo,Taiberson Ruan Menezes Nunes,,83
5008,Internacional,Amarelo,Nilmar,Atacante,12
5009,Gremio,Amarelo,Braian Rodríguez,,89
5009,Gremio,Amarelo,Douglas dos Santos,Meio-campo,55
5009,Gremio,Amarelo,Rafael Galhardo,Zagueiro,20
5009,Figueirense,Amarelo,Bruno Alves,Zagueiro,72
5009,Figueirense,Amarelo,Roberto Cereceda,Zagueiro,52
5010,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,Meio-campo,69
5010,Palmeiras,Amarelo,Leandro,Atacante,34
5010,Palmeiras,Amarelo,Jorge Valdivia,Meio-campo,9
5010,Goias,Amarelo,Péricles da Silva Nunes,Meio-campo,82
5010,Goias,Amarelo,Wesley,,53
5011,Chapecoense,Amarelo,Hyoran,,90+3
5011,Chapecoense,Amarelo,Vilson Xavier de Menezes Júnior,Zagueiro,52
5011,Chapecoense,Amarelo,Rafael Lima,Zagueiro,7
5011,Santos,Amarelo,Lucas Rafael Araújo Lima,Meio-campo,62
5011,Santos,Amarelo,Lucas Otávio,,50
5011,Santos,Amarelo,Ricardo Oliveira,Atacante,41
5012,Athletico-PR,Amarelo,Felipe de Oliveira Silva,Meio-campo,71
5012,Athletico-PR,Amarelo,Douglas Coutinho,Meio-campo,41
5013,Fluminense,Amarelo,José Renato da Silva Júnior,Zagueiro,21
5013,Corinthians,Amarelo,Jadson,Meio-campo,13
5014,Avai,Amarelo,Roberto César Zardin Rodrigues,,79
5014,Avai,Amarelo,Marquinhos Santos,Meio-campo,41
5014,Flamengo,Amarelo,Pablo Armero,Zagueiro,90
5014,Flamengo,Amarelo,Paulo Victor Mileo Vidotti,Goleiro,63
5014,Flamengo,Amarelo,Wallace Reis da Silva,Zagueiro,46
5015,Cruzeiro,Amarelo,Fabrício dos Santos Silva,Zagueiro,45
5015,Ponte Preta,Amarelo,Juninho,Zagueiro,77
5016,Sport,Amarelo,Rithely,Meio-campo,82
5016,Coritiba,Amarelo,Ivan Aparecido Martins,Zagueiro,30
5016,Coritiba,Amarelo,Norberto Pereira Marinho Neto,Zagueiro,15
5010,Goias,Vermelho,Bruno Henrique,Atacante,77
5010,Palmeiras,Amarelo,Leandro,,87
5010,Palmeiras,Amarelo,Lucas Rios Marques,Zagueiro,39
5010,Palmeiras,Amarelo,Victor Ramos,Zagueiro,17
5010,Goias,Amarelo,Wiliam Kozlowski,,87
5010,Goias,Amarelo,Bruno Henrique,Atacante,64
5010,Goias,Amarelo,Rafael Forster,Zagueiro,10
5011,Chapecoense,Amarelo,Elicarlos,Meio-campo,84
5011,Chapecoense,Amarelo,José Gildeixon Clemente de Paiva,Meio-campo,35
5011,Santos,Amarelo,Francisco Souza dos Santos,Zagueiro,88
5011,Santos,Amarelo,Robinho,Meio-campo,52
5011,Santos,Amarelo,Geuvânio,Meio-campo,48
5012,Athletico-PR,Amarelo,Otávio Henrique Santos,Meio-campo,90+6
5012,Athletico-PR,Amarelo,Weverton Pereira da Silva,Goleiro,45+1
5013,Fluminense,Amarelo,Gum,Zagueiro,76
5013,Corinthians,Amarelo,Petros,Meio-campo,49
5014,Avai,Amarelo,Glekson Marrone,,90+3
5014,Avai,Amarelo,Jeci,Zagueiro,45+1
5014,Avai,Amarelo,Hugo da Silva Cabral,Atacante,6
5014,Flamengo,Amarelo,Luiz Antônio de Souza Soares,,88
5014,Flamengo,Amarelo,Paulinho,,63
5014,Flamengo,Amarelo,Éverton Cardoso da Silva,Meio-campo,18
5015,Cruzeiro,Amarelo,Paulo André,Zagueiro,34
5015,Ponte Preta,Amarelo,Pablo Castro,Zagueiro,31
5016,Coritiba,Amarelo,Rosinei,Meio-campo,38
5016,Coritiba,Amarelo,João Paulo Silva,Meio-campo,19
5010,Palmeiras,Vermelho,Victor Ramos,Zagueiro,90+2
5012,Athletico-PR,Vermelho,Walter Henrique da Silva,Atacante,87
5017,Ponte Preta,Amarelo,Josimar,Meio-campo,76
5017,Ponte Preta,Amarelo,Biro-Biro,Meio-campo,35
5017,Chapecoense,Amarelo,Roger Rodrigues da Silva,Atacante,13
