partida_id,clube,chutes,posse_de_bola,passes,precisao_passes,faltas,impedimentos,escanteios
5041,Joinville,14,0.51,432,,8,1,9
5041,Corinthians,13,0.49,430,,9,0,5
5042,Sao Paulo,13,0.6,631,,19,2,4
5042,Gremio,9,0.4,436,,14,1,3
5043,Internacional,12,0.51,424,,5,2,3
5043,Coritiba,18,0.49,401,,16,4,11
5044,Figueirense,7,0.33,253,,22,7,2
5044,Palmeiras,13,0.67,506,,14,3,4
5045,Goias,8,0.56,496,,15,4,6
5045,Avai,11,0.44,401,,17,2,2
5046,Fluminense,15,0.47,408,,12,3,7
5046,Sport,7,0.53,479,,10,0,5
5047,Atletico-MG,18,0.63,520,,8,4,12
5047,Santos,10,0.37,320,,15,4,5
5048,Coritiba,12,0.57,478,,17,0,8
5048,Flamengo,8,0.43,380,,14,2,2
5049,Chapecoense,15,0.6,460,,5,3,7
5049,Sao Paulo,5,0.4,322,,29,1,3
5050,Corinthians,13,0.48,392,,10,4,4
5050,Internacional,12,0.52,427,,9,1,7
5051,Sport,10,0.47,379,,10,7,3
5051,Joinville,21,0.53,417,,13,2,6
5052,Vasco,14,0.6,536,,13,3,6
5052,Cruzeiro,8,0.4,362,,25,1,0
5053,Ponte Preta,16,0.62,430,,24,3,5
5053,Goias,17,0.38,279,,19,1,6
5054,Avai,8,0.58,304,,14,0,5
5054,Figueirense,9,0.42,229,,26,4,2
5055,Palmeiras,25,0.68,564,,6,1,7
5055,Fluminense,6,0.32,283,,13,0,2
5056,Gremio,20,0.56,428,,8,6,13
5056,Athletico-PR,12,0.44,344,,22,0,7
5057,Figueirense,14,0.39,267,,16,2,4
5057,Internacional,14,0.61,425,,18,0,4
5058,Sport,12,0.46,425,,10,1,4
5058,Vasco,9,0.54,482,,12,0,4
5059,Flamengo,12,0.54,504,,8,1,4
5059,Atletico-MG,8,0.46,457,,14,1,3
5060,Santos,10,0.41,351,,19,4,6
5060,Corinthians,10,0.59,502,,17,1,7
5061,Gremio,12,0.49,485,,11,7,1
5061,Palmeiras,14,0.51,476,,9,0,7
5062,Cruzeiro,14,0.62,526,,9,2,5
5062,Chapecoense,6,0.38,323,,16,1,4
5063,Joinville,12,0.48,377,,13,0,3
5063,Goias,15,0.52,394,,12,2,11
5064,Athletico-PR,17,0.51,381,,10,4,2
5064,Coritiba,15,0.49,384,,20,2,3
5065,Sao Paulo,16,0.58,414,,14,9,9
5065,Avai,13,0.42,314,,13,1,9
5066,Fluminense,21,0.48,452,,16,1,3
5066,Ponte Preta,11,0.52,473,,18,0,6
5067,Avai,12,0.5,375,,14,1,12
5067,Gremio,7,0.5,406,,16,3,4
5068,Chapecoense,14,0.64,433,,7,2,16
5068,Sport,14,0.36,265,,16,1,3
5069,Corinthians,13,0.52,473,,10,1,7
5069,Figueirense,6,0.48,452,,11,3,3
5070,Atletico-MG,13,0.58,505,,11,4,10
5070,Joinville,7,0.42,376,,13,7,3
5071,Palmeiras,13,0.4,344,,18,2,8
5071,Sao Paulo,9,0.6,503,,14,3,2
5072,Goias,19,0.46,371,,15,6,13
5072,Fluminense,10,0.54,443,,12,1,3
5073,Ponte Preta,14,0.52,408,,16,2,6
5073,Athletico-PR,18,0.48,371,,27,1,5
5074,Coritiba,12,0.49,362,,22,4,3
5074,Cruzeiro,11,0.51,373,,15,3,2
5075,Vasco,6,0.32,255,,18,1,2
5075,Flamengo,6,0.68,535,,10,7,10
5076,Internacional,12,0.61,506,,4,2,8
5076,Santos,16,0.39,324,,12,3,7
5077,Sport,13,0.4,322,,13,2,6
5077,Internacional,12,0.6,469,,8,3,7
5078,Vasco,13,0.48,375,,16,6,6
5078,Avai,13,0.52,404,,11,1,6
5079,Palmeiras,16,0.48,428,,15,4,2
5079,Chapecoense,8,0.52,472,,17,2,3
5080,Atletico-MG,16,0.6,564,,8,6,3
5080,Coritiba,10,0.4,394,,11,5,4
5081,Joinville,8,0.63,580,,14,1,3
5081,Flamengo,11,0.37,337,,11,4,3
5082,Gremio,22,0.58,478,,21,1,13
5082,Cruzeiro,14,0.42,353,,21,0,2
5083,Athletico-PR,11,0.46,432,,17,1,4
5083,Sao Paulo,10,0.54,501,,8,3,2
5084,Corinthians,17,0.46,468,,5,0,5
5084,Ponte Preta,11,0.54,522,,12,2,5
5085,Figueirense,10,0.46,395,,17,1,1
5085,Goias,16,0.54,443,,20,1,4
5086,Fluminense,8,0.52,442,,7,1,1
5086,Santos,9,0.48,424,,21,1,3
5087,Coritiba,12,0.59,454,,22,4,5
5087,Joinville,6,0.41,333,,17,2,4
5088,Chapecoense,19,0.68,508,,12,2,14
5088,Vasco,7,0.32,261,,12,0,4
5089,Cruzeiro,18,0.54,424,,10,1,6
5089,Athletico-PR,5,0.46,370,,18,1,4
5090,Avai,13,0.37,293,,16,4,5
5090,Sport,11,0.63,500,,14,2,9
5091,Goias,6,0.38,382,,12,3,5
5091,Corinthians,14,0.62,605,,12,1,7
5092,Sao Paulo,14,0.6,492,,18,3,7
5092,Fluminense,7,0.4,333,,16,2,4
5093,Santos,7,0.41,462,,13,0,1
5093,Gremio,17,0.59,654,,12,2,2
5094,Ponte Preta,19,0.53,506,,12,1,1
5094,Palmeiras,9,0.47,464,,22,1,5
5095,Flamengo,12,0.62,549,,9,4,8
5095,Figueirense,9,0.38,346,,20,3,5
5096,Internacional,11,0.46,452,,5,5,6
5096,Atletico-MG,19,0.54,537,,11,0,4
5097,Chapecoense,12,0.41,365,,8,0,5
5097,Gremio,10,0.59,529,,7,3,8
5098,Goias,14,0.41,374,,7,1,7
5098,Santos,8,0.59,546,,8,1,5
5099,Coritiba,19,0.52,422,,18,1,7
5099,Ponte Preta,8,0.48,396,,17,6,2
5100,Figueirense,13,0.52,337,,11,2,7
5100,Joinville,11,0.48,325,,21,0,10
5101,Palmeiras,18,0.57,430,,12,2,11
5101,Avai,12,0.43,329,,11,1,2
5102,Atletico-MG,12,0.54,462,,17,7,9
5102,Sport,10,0.46,404,,12,0,5
5103,Internacional,9,0.6,563,,17,2,3
5103,Flamengo,8,0.4,385,,19,5,2
5104,Vasco,14,0.48,475,,12,0,8
5104,Sao Paulo,10,0.52,507,,10,4,2
5105,Corinthians,8,0.47,453,,6,1,3
5105,Athletico-PR,11,0.53,478,,13,3,8
5106,Fluminense,15,0.39,297,,10,5,6
5106,Cruzeiro,8,0.61,454,,15,1,5
5107,Santos,14,0.48,391,,12,2,6
5107,Figueirense,5,0.52,419,,12,1,2
5108,Gremio,21,0.62,590,,16,0,6
5108,Vasco,7,0.38,372,,12,0,3
5109,Ponte Preta,11,0.44,406,,13,2,4
5109,Atletico-MG,13,0.56,503,,19,0,4
5110,Sao Paulo,16,0.53,447,,18,5,2
5110,Coritiba,10,0.47,397,,14,3,10
5111,Joinville,8,0.63,456,,17,4,6
5111,Internacional,7,0.37,283,,19,3,2
5112,Flamengo,16,0.6,535,,7,7,13
5112,Corinthians,8,0.4,394,,15,1,1
5113,Athletico-PR,23,0.59,456,,12,1,10
5113,Fluminense,9,0.41,322,,11,2,2
5114,Cruzeiro,22,0.64,537,,17,0,11
5114,Goias,3,0.36,315,,13,1,2
5115,Sport,11,0.59,506,,10,5,6
5115,Palmeiras,12,0.41,351,,17,3,4
5116,Avai,14,0.39,280,,15,4,6
5116,Chapecoense,13,0.61,433,,14,1,7
5117,Internacional,8,0.63,540,,18,1,6
5117,Goias,10,0.37,315,,12,4,5
5118,Flamengo,21,0.39,323,,12,1,7
5118,Gremio,6,0.61,506,,11,1,4
5119,Corinthians,8,0.44,392,,12,4,2
5119,Atletico-MG,16,0.56,467,,15,2,6
5120,Athletico-PR,20,0.56,439,,14,2,7
5120,Chapecoense,10,0.44,350,,13,4,1
5121,Figueirense,9,0.41,356,,20,2,2
5121,Coritiba,12,0.59,523,,18,0,2
5122,Sport,15,0.46,408,,9,4,2
5122,Sao Paulo,7,0.54,468,,12,8,3
5123,Fluminense,16,0.58,375,,15,0,9
5123,Vasco,8,0.42,287,,17,2,2
5124,Palmeiras,9,0.44,301,,24,3,2
5124,Santos,14,0.56,374,,10,3,5
5125,Cruzeiro,20,0.67,554,,7,1,6
5125,Avai,9,0.33,263,,16,0,3
5126,Joinville,21,0.54,451,,11,1,8
5126,Ponte Preta,8,0.46,397,,14,1,2
5127,Avai,20,0.47,362,,5,2,7
5127,Athletico-PR,18,0.53,442,,17,1,2
5128,Gremio,17,0.57,582,,6,7,13
5128,Sport,8,0.43,462,,8,0,4
5129,Atletico-MG,15,0.62,508,,16,1,8
5129,Figueirense,8,0.38,311,,19,3,9
5130,Chapecoense,9,0.48,372,,15,3,1
5130,Fluminense,12,0.52,373,,16,1,10
5131,Santos,13,0.5,481,,4,7,7
5131,Joinville,10,0.5,482,,12,2,6
5132,Ponte Preta,21,0.58,416,,10,1,13
5132,Internacional,13,0.42,315,,19,3,8
5133,Coritiba,11,0.54,461,,7,10,5
5133,Corinthians,8,0.46,405,,18,0,5
5134,Sao Paulo,10,0.49,428,,16,4,5
5134,Cruzeiro,11,0.51,457,,14,0,2
5135,Goias,14,0.43,330,,11,0,11
5135,Flamengo,8,0.57,448,,6,1,4
5136,Vasco,8,0.56,446,,14,8,8
5136,Palmeiras,18,0.44,363,,21,5,4
5137,Corinthians,20,0.6,552,,7,0,3
5137,Vasco,11,0.4,357,,15,9,4
5138,Atletico-MG,14,0.49,521,,6,2,3
5138,Sao Paulo,15,0.51,550,,6,7,4
5139,Fluminense,12,0.45,399,,16,3,4
5139,Gremio,9,0.55,484,,13,1,4
5140,Coritiba,17,0.61,459,,11,3,9
5140,Goias,14,0.39,297,,19,1,7
5141,Palmeiras,16,0.51,433,,13,2,5
5141,Athletico-PR,9,0.49,442,,18,2,4
5142,Joinville,3,0.51,393,,22,2,10
5142,Avai,8,0.49,392,,9,0,4
5143,Internacional,11,0.64,509,,4,2,11
5143,Chapecoense,11,0.36,301,,13,3,7
5144,Figueirense,12,0.44,303,,19,1,4
5144,Ponte Preta,19,0.56,388,,18,1,5
5145,Flamengo,26,0.55,443,,17,2,9
5145,Santos,10,0.45,395,,14,0,3
5146,Sport,7,0.49,457,,15,3,6
5146,Cruzeiro,11,0.51,473,,17,5,6
5147,Avai,13,0.3,221,,14,2,6
5147,Fluminense,13,0.7,526,,12,3,9
5148,Santos,12,0.51,453,,12,1,5
5148,Coritiba,8,0.49,447,,15,3,5
5149,Athletico-PR,16,0.53,516,,6,4,7
5149,Sport,8,0.47,491,,11,0,2
5150,Vasco,20,0.6,440,,17,2,9
5150,Joinville,15,0.4,301,,21,3,9
5151,Sao Paulo,19,0.59,503,,13,7,8
5151,Corinthians,10,0.41,354,,16,4,5
5152,Cruzeiro,17,0.48,415,,21,4,5
5152,Palmeiras,13,0.52,446,,18,4,7
5153,Ponte Preta,10,0.41,337,,17,0,3
5153,Flamengo,16,0.59,457,,16,0,4
5154,Goias,13,0.37,347,,8,3,2
5154,Atletico-MG,8,0.63,568,,11,0,6
5155,Gremio,16,0.57,553,,16,1,4
5155,Internacional,12,0.43,417,,12,1,5
5156,Chapecoense,8,0.49,331,,20,0,5
5156,Figueirense,10,0.51,321,,13,2,7
5157,Coritiba,9,0.45,402,,14,0,3
5157,Palmeiras,9,0.55,475,,11,1,8
5158,Flamengo,9,0.47,390,,10,1,7
5158,Athletico-PR,9,0.53,458,,16,1,4
5159,Santos,21,0.52,370,,12,8,6
5159,Vasco,8,0.48,343,,22,0,6
5160,Goias,17,0.55,507,,6,0,12
5160,Chapecoense,2,0.45,450,,16,0,1
5161,Figueirense,15,0.52,376,,18,1,6
5161,Sao Paulo,7,0.48,356,,18,0,6
5162,Internacional,17,0.6,465,,20,0,8
5162,Fluminense,8,0.4,315,,14,0,8
5163,Corinthians,15,0.57,491,,11,2,9
5163,Sport,10,0.43,391,,8,4,4
5164,Ponte Preta,14,0.63,539,,13,3,4
5164,Avai,4,0.37,318,,6,1,1
5165,Joinville,14,0.33,298,,10,0,8
5165,Cruzeiro,8,0.67,627,,10,3,9
5166,Atletico-MG,24,0.6,563,,10,1,12
5166,Gremio,9,0.4,413,,12,2,3
5167,Vasco,20,0.56,389,,12,1,7
5167,Coritiba,13,0.44,323,,19,0,3
5168,Athletico-PR,13,0.63,502,,10,2,11
5168,Santos,8,0.37,307,,13,3,4
5169,Sao Paulo,5,0.66,636,,4,0,7
5169,Goias,14,0.34,339,,4,1,8
5170,Palmeiras,12,0.38,300,,18,0,3
5170,Flamengo,21,0.62,466,,15,4,6
5171,Avai,13,0.36,282,,15,5,8
5171,Corinthians,10,0.64,546,,8,1,0
5172,Fluminense,19,0.58,442,,14,1,3
5172,Figueirense,5,0.42,330,,18,1,2
5173,Cruzeiro,11,0.55,476,,14,3,5
5173,Internacional,9,0.45,391,,22,0,6
5174,Sport,11,0.47,481,,7,1,3
5174,Ponte Preta,12,0.53,542,,16,2,1
5175,Gremio,17,0.69,619,,10,2,10
5175,Joinville,11,0.31,282,,18,1,4
5176,Chapecoense,13,0.36,313,,12,1,3
5176,Atletico-MG,12,0.64,538,,8,2,7
5177,Goias,13,0.51,406,,16,2,4
5177,Vasco,5,0.49,407,,13,4,2
5178,Santos,17,0.59,538,,14,1,7
5178,Avai,16,0.41,364,,12,1,2
5179,Figueirense,9,0.41,284,,19,8,8
5179,Sport,10,0.59,429,,13,1,6
5180,Coritiba,9,0.46,374,,19,0,5
5180,Chapecoense,11,0.54,447,,17,2,0
5181,Ponte Preta,25,0.58,587,,12,3,6
5181,Gremio,3,0.42,437,,13,1,1
5182,Joinville,11,0.46,320,,26,3,3
5182,Fluminense,20,0.54,379,,15,5,4
5183,Internacional,15,0.47,430,,10,0,8
5183,Athletico-PR,8,0.53,491,,12,2,0
5184,Corinthians,16,0.39,387,,12,0,3
5184,Cruzeiro,12,0.61,590,,7,6,6
5185,Flamengo,22,0.44,277,,25,2,10
5185,Sao Paulo,9,0.56,364,,15,2,5
5186,Atletico-MG,18,0.56,472,,13,5,7
5186,Palmeiras,11,0.44,386,,12,2,2
5187,Vasco,17,0.62,490,,11,3,7
5187,Figueirense,12,0.38,313,,19,0,1
5188,Sao Paulo,16,0.47,496,,16,2,3
5188,Ponte Preta,20,0.53,551,,11,1,7
5189,Gremio,12,0.49,385,,13,2,7
5189,Coritiba,11,0.51,399,,15,1,6
5190,Avai,14,0.36,290,,14,2,5
5190,Internacional,14,0.64,516,,12,1,8
5191,Palmeiras,15,0.57,465,,9,3,3
5191,Joinville,8,0.43,360,,18,1,1
5192,Fluminense,12,0.43,372,,23,0,0
5192,Atletico-MG,13,0.57,484,,16,0,6
5193,Sport,12,0.38,351,,6,3,4
5193,Flamengo,12,0.62,575,,19,2,6
5194,Chapecoense,12,0.48,388,,14,4,7
5194,Corinthians,15,0.52,429,,11,1,5
5195,Cruzeiro,14,0.53,505,,17,1,4
5195,Santos,6,0.47,469,,12,1,2
5196,Athletico-PR,19,0.64,509,,12,0,6
5196,Goias,10,0.36,284,,13,2,3
5197,Joinville,21,0.47,359,,23,0,8
5197,Sao Paulo,8,0.53,407,,14,5,8
5198,Ponte Preta,8,0.46,383,,19,1,5
5198,Cruzeiro,17,0.54,440,,22,1,6
5199,Internacional,10,0.39,345,,22,2,2
5199,Vasco,5,0.61,549,,10,4,6
5200,Flamengo,8,0.63,588,,14,3,2
5200,Avai,14,0.37,345,,18,1,5
5201,Atletico-MG,20,0.51,344,,18,10,10
5201,Athletico-PR,14,0.49,368,,16,1,2
5202,Coritiba,7,0.48,414,,16,2,3
5202,Sport,12,0.52,452,,14,3,4
5203,Corinthians,14,0.6,520,,12,0,8
5203,Fluminense,11,0.4,345,,11,6,3
5204,Goias,9,0.4,350,,11,1,3
5204,Palmeiras,14,0.6,510,,14,2,7
5205,Santos,13,0.51,430,,16,1,4
5205,Chapecoense,13,0.49,420,,12,2,9
5206,Figueirense,14,0.65,572,,14,3,9
5206,Gremio,6,0.35,330,,9,1,4
5207,Sao Paulo,15,0.53,464,,10,0,7
5207,Internacional,5,0.47,420,,10,1,3
5208,Vasco,15,0.47,416,,19,1,5
5208,Atletico-MG,4,0.53,463,,16,5,5
5209,Athletico-PR,18,0.77,539,,15,5,4
5209,Joinville,7,0.23,169,,17,2,2
5210,Cruzeiro,16,0.54,476,,15,5,4
5210,Figueirense,5,0.46,420,,15,1,3
5211,Chapecoense,15,0.64,507,,9,1,9
5211,Ponte Preta,8,0.36,294,,17,1,11
5212,Gremio,18,0.74,690,,15,3,5
5212,Goias,9,0.26,248,,12,0,3
5213,Palmeiras,16,0.49,312,,20,2,11
5213,Corinthians,7,0.51,351,,14,2,1
5214,Avai,12,0.52,363,,19,1,4
5214,Coritiba,10,0.48,365,,22,3,1
5215,Fluminense,7,0.53,437,,13,2,5
5215,Flamengo,20,0.47,402,,24,0,9
5216,Sport,12,0.56,517,,9,0,7
5216,Santos,12,0.44,448,,9,3,1
5217,Ponte Preta,10,0.47,406,,20,0,2
5217,Vasco,12,0.53,438,,23,0,4
5218,Atletico-MG,11,0.62,587,,17,3,5
5218,Avai,11,0.38,369,,16,2,2
5219,Internacional,8,0.46,367,,21,2,3
5219,Palmeiras,7,0.54,426,,23,0,3
5220,Figueirense,14,0.51,403,,7,2,10
5220,Athletico-PR,12,0.49,407,,9,1,6
5221,Coritiba,9,0.53,426,,11,1,3
5221,Fluminense,16,0.47,376,,24,2,7
5222,Santos,15,0.48,431,,11,2,2
5222,Sao Paulo,11,0.52,462,,9,3,2
5223,Corinthians,14,0.56,604,,7,0,4
5223,Gremio,15,0.44,473,,6,2,6
5224,Goias,19,0.4,382,,8,0,6
5224,Sport,10,0.6,591,,6,1,5
5225,Joinville,9,0.55,361,,13,2,2
5225,Chapecoense,7,0.45,305,,10,3,6
5226,Flamengo,10,0.46,360,,18,1,3
5226,Cruzeiro,10,0.54,412,,10,2,7
5227,Coritiba,25,0.62,514,,13,0,4
5227,Internacional,7,0.38,322,,26,0,3
5228,Palmeiras,15,0.53,424,,19,3,4
5228,Figueirense,4,0.47,382,,18,5,4
5229,Ponte Preta,16,0.38,333,,22,1,2
5229,Santos,20,0.62,531,,15,0,10
5230,Corinthians,13,0.69,595,,10,2,8
5230,Joinville,7,0.31,267,,17,3,6
5231,Cruzeiro,12,0.35,278,,17,4,3
5231,Atletico-MG,16,0.65,499,,16,3,9
5232,Gremio,12,0.52,473,,11,1,6
5232,Sao Paulo,14,0.48,460,,13,0,4
5233,Chapecoense,13,0.49,429,,13,1,3
5233,Flamengo,9,0.51,440,,12,3,7
5234,Vasco,14,0.44,351,,18,4,6
5234,Athletico-PR,17,0.56,423,,20,2,13
5235,Avai,13,0.65,581,,18,2,2
5235,Goias,12,0.35,326,,19,2,3
5236,Sport,6,0.57,440,,19,1,3
5236,Fluminense,13,0.43,336,,17,0,2
5237,Joinville,15,0.33,262,,19,3,5
5237,Sport,7,0.67,555,,11,6,3
5238,Fluminense,9,0.51,392,,14,3,5
5238,Palmeiras,12,0.49,372,,19,0,6
5239,Goias,9,0.49,449,,12,0,11
5239,Ponte Preta,8,0.51,489,,11,2,1
5240,Figueirense,7,0.63,362,,16,0,6
5240,Avai,10,0.37,217,,23,0,1
5241,Athletico-PR,16,0.48,423,,13,1,7
5241,Gremio,5,0.52,488,,5,1,2
5242,Santos,13,0.44,477,,7,2,1
5242,Atletico-MG,16,0.56,592,,11,1,3
5243,Internacional,13,0.44,348,,15,4,5
5243,Corinthians,14,0.56,425,,12,1,6
5244,Cruzeiro,12,0.53,437,,15,0,11
5244,Vasco,10,0.47,398,,4,2,11
5245,Sao Paulo,7,0.59,474,,12,2,6
5245,Chapecoense,8,0.41,354,,14,2,3
5246,Flamengo,17,0.73,627,,12,2,10
5246,Coritiba,8,0.27,245,,21,3,0
5247,Palmeiras,14,0.41,284,,22,2,9
5247,Gremio,9,0.59,432,,17,1,2
5248,Internacional,9,0.53,415,,22,2,5
5248,Figueirense,8,0.47,368,,22,0,5
5249,Ponte Preta,9,0.4,348,,14,2,5
5249,Fluminense,10,0.6,498,,14,1,7
5250,Goias,12,0.45,379,,6,2,3
5250,Joinville,7,0.55,437,,12,0,8
5251,Corinthians,14,0.57,464,,8,2,9
5251,Santos,6,0.43,357,,10,3,6
5252,Vasco,14,0.44,372,,13,4,2
5252,Sport,13,0.56,477,,10,2,5
5253,Atletico-MG,14,0.45,379,,16,0,6
5253,Flamengo,11,0.55,438,,16,4,6
5254,Avai,12,0.38,294,,17,3,9
5254,Sao Paulo,11,0.62,490,,19,2,5
5255,Chapecoense,18,0.55,416,,15,2,3
5255,Cruzeiro,5,0.45,364,,12,2,6
5256,Coritiba,9,0.38,260,,19,1,5
5256,Athletico-PR,9,0.62,407,,23,2,5
5257,Fluminense,7,0.52,437,,27,0,0
5257,Goias,14,0.48,405,,15,2,4
5258,Gremio,14,0.54,538,,13,2,3
5258,Avai,13,0.46,426,,12,0,8
5259,Athletico-PR,19,0.66,488,,16,0,13
5259,Ponte Preta,8,0.34,278,,18,4,2
5260,Santos,18,0.61,490,,8,3,5
5260,Internacional,11,0.39,324,,17,1,6
5261,Flamengo,14,0.48,307,,26,2,4
5261,Vasco,7,0.52,334,,21,0,5
5262,Joinville,15,0.43,369,,19,2,5
5262,Atletico-MG,12,0.57,498,,8,5,5
5263,Figueirense,12,0.53,385,,21,3,9
5263,Corinthians,14,0.47,367,,14,0,4
5264,Sao Paulo,14,0.56,402,,13,2,7
5264,Palmeiras,9,0.44,315,,17,0,3
5265,Sport,9,0.46,374,,17,2,4
5265,Chapecoense,15,0.54,414,,8,1,6
5266,Cruzeiro,7,0.49,458,,13,0,3
5266,Coritiba,16,0.51,446,,13,3,6
5267,Internacional,21,0.51,376,,16,3,8
5267,Sport,9,0.49,382,,11,1,4
5268,Coritiba,14,0.49,412,,6,4,9
5268,Atletico-MG,10,0.51,443,,11,0,1
5269,Sao Paulo,11,0.58,464,,12,4,4
5269,Athletico-PR,8,0.42,342,,16,1,0
5270,Avai,14,0.41,289,,18,2,6
5270,Vasco,8,0.59,444,,18,5,3
5271,Flamengo,21,0.7,478,,17,8,9
5271,Joinville,4,0.3,217,,27,0,2
5272,Santos,19,0.54,442,,24,9,6
5272,Fluminense,11,0.46,386,,12,0,4
5273,Cruzeiro,18,0.46,436,,9,4,3
5273,Gremio,3,0.54,526,,15,0,5
5274,Goias,19,0.62,423,,15,0,4
5274,Figueirense,13,0.38,267,,11,3,5
5275,Ponte Preta,10,0.42,320,,17,6,8
5275,Corinthians,13,0.58,445,,15,1,7
5276,Chapecoense,13,0.48,314,,17,0,2
