partida_id,clube,chutes,chutes_no_alvo,posse_de_bola,precisao_passes,faltas,impedimentos,escanteios
5007,Joinville,7,0,0.37,,11,1,0
5008,Vasco,13,0,0.61,,15,1,8
5008,Internacional,7,0,0.39,,16,0,1
5009,Gremio,19,0,0.63,,16,1,11
5009,Figueirense,5,0,0.37,,24,1,4
5010,Palmeiras,21,0,0.74,,13,5,13
5010,Goias,7,0,0.26,,24,1,6
5011,Chapecoense,13,0,0.4,,13,3,4
5011,Santos,15,0,0.6,,20,3,5
5012,Athletico-PR,11,0,0.36,,7,4,2
5012,Atletico-MG,16,0,0.64,,8,3,9
5013,Fluminense,15,4,0.42,,19,2,9
5013,Corinthians,7,2,0.58,,6,3,6
5014,Avai,13,0,0.43,,15,0,4
5014,Flamengo,8,0,0.57,,17,7,2
5015,Cruzeiro,22,0,0.54,,17,3,16
5015,Ponte Preta,15,0,0.46,,11,4,3
5016,Sport,12,0,0.49,,13,1,2
5016,Coritiba,9,0,0.51,,17,0,5
5017,Ponte Preta,13,0,0.47,,20,1,0
5017,Chapecoense,14,0,0.53,,15,0,4
5018,Coritiba,11,0,0.58,,17,3,5
5018,Avai,11,0,0.42,,21,0,3
5019,Joinville,10,0,0.54,,12,1,4
5019,Athletico-PR,19,0,0.46,,13,4,7
5020,Santos,18,0,0.54,,9,6,8
5020,Sport,15,0,0.46,,11,0,7
5021,Goias,10,0,0.41,,14,0,2
5021,Gremio,9,0,0.59,,14,1,3
5022,Atletico-MG,21,0,0.53,,16,2,5
5022,Vasco,9,0,0.47,,12,3,7
5023,Corinthians,9,0,0.54,,21,4,2
5023,Palmeiras,12,0,0.46,,21,3,6
5024,Internacional,8,0,0.54,,19,3,5
5024,Sao Paulo,14,0,0.46,,17,3,10
5025,Flamengo,15,5,0.67,,24,1,8
5025,Fluminense,7,2,0.33,,23,0,1
5026,Figueirense,9,0,0.32,,17,2,5
5026,Cruzeiro,22,0,0.68,,11,1,4
5027,Athletico-PR,12,0,0.47,,12,1,6
5027,Figueirense,9,0,0.53,,8,5,4
5028,Vasco,14,0,0.52,,15,0,6
5028,Ponte Preta,16,0,0.48,,18,3,2
5029,Chapecoense,10,0,0.53,,16,1,7
5029,Joinville,12,0,0.47,,12,1,10
5030,Sao Paulo,13,0,0.63,,14,1,8
5030,Santos,8,0,0.37,,15,0,1
5031,Cruzeiro,11,0,0.52,,16,2,5
5031,Flamengo,8,0,0.48,,17,1,10
5032,Avai,7,0,0.46,,12,3,10
5032,Atletico-MG,16,0,0.54,,15,4,7
5033,Gremio,13,0,0.38,,22,6,3
5033,Corinthians,20,0,0.62,,10,0,5
5034,Fluminense,12,6,0.53,,13,1,3
5034,Coritiba,8,4,0.47,,24,3,4
5035,Sport,16,0,0.67,,11,4,7
5035,Goias,9,0,0.33,,13,1,3
5036,Palmeiras,15,0,0.57,,15,3,9
5036,Internacional,5,0,0.43,,13,1,2
5037,Atletico-MG,14,0,0.64,,12,3,7
5037,Cruzeiro,11,0,0.36,,13,2,6
5038,Flamengo,18,0,0.64,,13,2,5
5038,Chapecoense,6,0,0.36,,12,1,1
5039,Santos,18,0,0.52,,17,2,6
5039,Ponte Preta,19,0,0.48,,15,3,2
5040,Athletico-PR,13,0,0.45,,15,2,7
5040,Vasco,14,0,0.55,,7,2,3
5041,Joinville,14,0,0.51,,8,1,9
5041,Corinthians,13,0,0.49,,9,0,5
5042,Sao Paulo,13,0,0.6,,19,2,4
5042,Gremio,9,0,0.4,,14,1,3
5043,Internacional,12,0,0.51,,5,2,3
5043,Coritiba,18,0,0.49,,16,4,11
5044,Figueirense,7,0,0.33,,22,7,2
5044,Palmeiras,13,0,0.67,,14,3,4
5045,Goias,8,0,0.56,,15,4,6
5045,Avai,11,0,0.44,,17,2,2
5046,Fluminense,15,4,0.47,,12,3,7
5046,Sport,7,1,0.53,,10,0,5
5047,Atletico-MG,18,0,0.63,,8,4,12
5047,Santos,10,0,0.37,,15,4,5
5048,Coritiba,12,0,0.57,,17,0,8
5048,Flamengo,8,0,0.43,,14,2,2
5049,Chapecoense,15,0,0.6,,5,3,7
5049,Sao Paulo,5,0,0.4,,29,1,3
5050,Corinthians,13,0,0.48,,10,4,4
5050,Internacional,12,0,0.52,,9,1,7
5051,Sport,10,0,0.47,,10,7,3
5051,Joinville,21,0,0.53,,13,2,6
5052,Vasco,14,0,0.6,,13,3,6
5052,Cruzeiro,8,0,0.4,,25,1,0
5053,Ponte Preta,16,0,0.62,,24,3,5
5053,Goias,17,0,0.38,,19,1,6
5054,Avai,8,0,0.58,,14,0,5
5054,Figueirense,9,0,0.42,,26,4,2
5055,Palmeiras,25,11,0.68,,6,1,7
5055,Fluminense,6,3,0.32,,13,0,2
5056,Gremio,20,0,0.56,,8,6,13
5056,Athletico-PR,12,0,0.44,,22,0,7
5057,Figueirense,14,0,0.39,,16,2,4
5057,Internacional,14,0,0.61,,18,0,4
5058,Sport,12,0,0.46,,10,1,4
5058,Vasco,9,0,0.54,,12,0,4
5059,Flamengo,12,0,0.54,,8,1,4
5059,Atletico-MG,8,0,0.46,,14,1,3
5060,Santos,10,0,0.41,,19,4,6
5060,Corinthians,10,0,0.59,,17,1,7
5061,Gremio,12,0,0.49,,11,7,1
5061,Palmeiras,14,0,0.51,,9,0,7
5062,Cruzeiro,14,0,0.62,,9,2,5
5062,Chapecoense,6,0,0.38,,16,1,4
5063,Joinville,12,0,0.48,,13,0,3
5063,Goias,15,0,0.52,,12,2,11
5064,Athletico-PR,17,0,0.51,,10,4,2
5064,Coritiba,15,0,0.49,,20,2,3
5065,Sao Paulo,16,0,0.58,,14,9,9
5065,Avai,13,0,0.42,,13,1,9
5066,Fluminense,21,6,0.48,,16,1,3
5066,Ponte Preta,11,3,0.52,,18,0,6
5067,Avai,12,0,0.5,,14,1,12
5067,Gremio,7,0,0.5,,16,3,4
5068,Chapecoense,14,0,0.64,,7,2,16
5068,Sport,14,0,0.36,,16,1,3
5069,Corinthians,13,0,0.52,,10,1,7
5069,Figueirense,6,0,0.48,,11,3,3
5070,Atletico-MG,13,0,0.58,,11,4,10
5070,Joinville,7,0,0.42,,13,7,3
5071,Palmeiras,13,0,0.4,,18,2,8
5071,Sao Paulo,9,0,0.6,,14,3,2
5072,Goias,19,6,0.46,,15,6,13
5072,Fluminense,10,5,0.54,,12,1,3
5073,Ponte Preta,14,0,0.52,,16,2,6
5073,Athletico-PR,18,0,0.48,,27,1,5
5074,Coritiba,12,0,0.49,,22,4,3
5074,Cruzeiro,11,0,0.51,,15,3,2
5075,Vasco,6,0,0.32,,18,1,2
5075,Flamengo,6,0,0.68,,10,7,10
5076,Internacional,12,0,0.61,,4,2,8
5076,Santos,16,0,0.39,,12,3,7
5077,Sport,13,0,0.4,,13,2,6
5077,Internacional,12,0,0.6,,8,3,7
5078,Vasco,13,0,0.48,,16,6,6
5078,Avai,13,0,0.52,,11,1,6
5079,Palmeiras,16,0,0.48,,15,4,2
5079,Chapecoense,8,0,0.52,,17,2,3
5080,Atletico-MG,16,0,0.6,,8,6,3
5080,Coritiba,10,0,0.4,,11,5,4
5081,Joinville,8,0,0.63,,14,1,3
5081,Flamengo,11,0,0.37,,11,4,3
5082,Gremio,22,0,0.58,,21,1,13
5082,Cruzeiro,14,0,0.42,,21,0,2
5083,Athletico-PR,11,0,0.46,,17,1,4
5083,Sao Paulo,10,0,0.54,,8,3,2
5084,Corinthians,17,0,0.46,,5,0,5
5084,Ponte Preta,11,0,0.54,,12,2,5
5085,Figueirense,10,0,0.46,,17,1,1
5085,Goias,16,0,0.54,,20,1,4
5086,Fluminense,8,0,0.52,,7,1,1
5086,Santos,9,0,0.48,,21,1,3
5087,Coritiba,12,0,0.59,,22,4,5
5087,Joinville,6,0,0.41,,17,2,4
5088,Chapecoense,19,0,0.68,,12,2,14
5088,Vasco,7,0,0.32,,12,0,4
5089,Cruzeiro,18,0,0.54,,10,1,6
5089,Athletico-PR,5,0,0.46,,18,1,4
5090,Avai,13,0,0.37,,16,4,5
5090,Sport,11,0,0.63,,14,2,9
5091,Goias,6,0,0.38,,12,3,5
5091,Corinthians,14,0,0.62,,12,1,7
5092,Sao Paulo,14,0,0.6,,18,3,7
5092,Fluminense,7,0,0.4,,16,2,4
5093,Santos,7,0,0.41,,13,0,1
5093,Gremio,17,0,0.59,,12,2,2
5094,Ponte Preta,19,0,0.53,,12,1,1
5094,Palmeiras,9,0,0.47,,22,1,5
5095,Flamengo,12,0,0.62,,9,4,8
5095,Figueirense,9,0,0.38,,20,3,5
5096,Internacional,11,0,0.46,,5,5,6
5096,Atletico-MG,19,0,0.54,,11,0,4
5097,Chapecoense,12,0,0.41,,8,0,5
5097,Gremio,10,0,0.59,,7,3,8
5098,Goias,14,0,0.41,,7,1,7
5098,Santos,8,0,0.59,,8,1,5
5099,Coritiba,19,0,0.52,,18,1,7
5099,Ponte Preta,8,0,0.48,,17,6,2
5100,Figueirense,13,0,0.52,,11,2,7
5100,Joinville,11,0,0.48,,21,0,10
5101,Palmeiras,18,0,0.57,,12,2,11
5101,Avai,12,0,0.43,,11,1,2
5102,Atletico-MG,12,0,0.54,,17,7,9
5102,Sport,10,0,0.46,,12,0,5
5103,Internacional,9,0,0.6,,17,2,3
5103,Flamengo,8,0,0.4,,19,5,2
5104,Vasco,14,0,0.48,,12,0,8
5104,Sao Paulo,10,0,0.52,,10,4,2
5105,Corinthians,8,0,0.47,,6,1,3
5105,Athletico-PR,11,0,0.53,,13,3,8
5106,Fluminense,15,0,0.39,,10,5,6
5106,Cruzeiro,8,0,0.61,,15,1,5
5107,Santos,14,0,0.48,,12,2,6
5107,Figueirense,5,0,0.52,,12,1,2
5108,Gremio,21,0,0.62,,16,0,6
5108,Vasco,7,0,0.38,,12,0,3
5109,Ponte Preta,11,0,0.44,,13,2,4
5109,Atletico-MG,13,0,0.56,,19,0,4
5110,Sao Paulo,16,0,0.53,,18,5,2
5110,Coritiba,10,0,0.47,,14,3,10
5111,Joinville,8,0,0.63,,17,4,6
5111,Internacional,7,0,0.37,,19,3,2
5112,Flamengo,16,0,0.6,,7,7,13
5112,Corinthians,8,0,0.4,,15,1,1
5113,Athletico-PR,23,0,0.59,,12,1,10
5113,Fluminense,9,0,0.41,,11,2,2
5114,Cruzeiro,22,0,0.64,,17,0,11
5114,Goias,3,0,0.36,,13,1,2
5115,Sport,11,0,0.59,,10,5,6
5115,Palmeiras,12,0,0.41,,17,3,4
5116,Avai,14,0,0.39,,15,4,6
5116,Chapecoense,13,0,0.61,,14,1,7
5117,Internacional,8,0,0.63,,18,1,6
5117,Goias,10,0,0.37,,12,4,5
5118,Flamengo,21,0,0.39,,12,1,7
5118,Gremio,6,0,0.61,,11,1,4
5119,Corinthians,8,0,0.44,,12,4,2
5119,Atletico-MG,16,0,0.56,,15,2,6
5120,Athletico-PR,20,0,0.56,,14,2,7
5120,Chapecoense,10,0,0.44,,13,4,1
5121,Figueirense,9,0,0.41,,20,2,2
5121,Coritiba,12,0,0.59,,18,0,2
5122,Sport,15,0,0.46,,9,4,2
5122,Sao Paulo,7,0,0.54,,12,8,3
5123,Fluminense,16,0,0.58,,15,0,9
5123,Vasco,8,0,0.42,,17,2,2
5124,Palmeiras,9,0,0.44,,24,3,2
5124,Santos,14,0,0.56,,10,3,5
5125,Cruzeiro,20,0,0.67,,7,1,6
5125,Avai,9,0,0.33,,16,0,3
5126,Joinville,21,0,0.54,,11,1,8
5126,Ponte Preta,8,0,0.46,,14,1,2
5127,Avai,20,0,0.47,,5,2,7
5127,Athletico-PR,18,0,0.53,,17,1,2
5128,Gremio,17,0,0.57,,6,7,13
5128,Sport,8,0,0.43,,8,0,4
5129,Atletico-MG,15,0,0.62,,16,1,8
5129,Figueirense,8,0,0.38,,19,3,9
5130,Chapecoense,9,0,0.48,,15,3,1
5130,Fluminense,12,0,0.52,,16,1,10
5131,Santos,13,0,0.5,,4,7,7
5131,Joinville,10,0,0.5,,12,2,6
5132,Ponte Preta,21,0,0.58,,10,1,13
5132,Internacional,13,0,0.42,,19,3,8
5133,Coritiba,11,0,0.54,,7,10,5
5133,Corinthians,8,0,0.46,,18,0,5
5134,Sao Paulo,10,0,0.49,,16,4,5
5134,Cruzeiro,11,0,0.51,,14,0,2
5135,Goias,14,0,0.43,,11,0,11
5135,Flamengo,8,0,0.57,,6,1,4
5136,Vasco,8,0,0.56,,14,8,8
5136,Palmeiras,18,0,0.44,,21,5,4
5137,Corinthians,20,0,0.6,,7,0,3
5137,Vasco,11,0,0.4,,15,9,4
5138,Atletico-MG,14,0,0.49,,6,2,3
5138,Sao Paulo,15,0,0.51,,6,7,4
5139,Fluminense,12,0,0.45,,16,3,4
5139,Gremio,9,0,0.55,,13,1,4
5140,Coritiba,17,0,0.61,,11,3,9
5140,Goias,14,0,0.39,,19,1,7
5141,Palmeiras,16,0,0.51,,13,2,5
5141,Athletico-PR,9,0,0.49,,18,2,4
5142,Joinville,3,0,0.51,,22,2,10
5142,Avai,8,0,0.49,,9,0,4
5143,Internacional,11,0,0.64,,4,2,11
5143,Chapecoense,11,0,0.36,,13,3,7
5144,Figueirense,12,0,0.44,,19,1,4
5144,Ponte Preta,19,0,0.56,,18,1,5
5145,Flamengo,26,0,0.55,,17,2,9
5145,Santos,10,0,0.45,,14,0,3
5146,Sport,7,0,0.49,,15,3,6
5146,Cruzeiro,11,0,0.51,,17,5,6
5147,Avai,13,0,0.3,,14,2,6
5147,Fluminense,13,0,0.7,,12,3,9
5148,Santos,12,0,0.51,,12,1,5
5148,Coritiba,8,0,0.49,,15,3,5
5149,Athletico-PR,16,0,0.53,,6,4,7
5149,Sport,8,0,0.47,,11,0,2
5150,Vasco,20,0,0.6,,17,2,9
5150,Joinville,15,0,0.4,,21,3,9
5151,Sao Paulo,19,0,0.59,,13,7,8
5151,Corinthians,10,0,0.41,,16,4,5
5152,Cruzeiro,17,0,0.48,,21,4,5
5152,Palmeiras,13,0,0.52,,18,4,7
5153,Ponte Preta,10,0,0.41,,17,0,3
5153,Flamengo,16,0,0.59,,16,0,4
5154,Goias,13,0,0.37,,8,3,2
5154,Atletico-MG,8,0,0.63,,11,0,6
5155,Gremio,16,0,0.57,,16,1,4
5155,Internacional,12,0,0.43,,12,1,5
5156,Chapecoense,8,0,0.49,,20,0,5
5156,Figueirense,10,0,0.51,,13,2,7
5157,Coritiba,9,0,0.45,,14,0,3
5157,Palmeiras,9,0,0.55,,11,1,8
5158,Flamengo,9,0,0.47,,10,1,7
5158,Athletico-PR,9,0,0.53,,16,1,4
5159,Santos,21,0,0.52,,12,8,6
5159,Vasco,8,0,0.48,,22,0,6
5160,Goias,17,0,0.55,,6,0,12
5160,Chapecoense,2,0,0.45,,16,0,1
5161,Figueirense,15,0,0.52,,18,1,6
5161,Sao Paulo,7,0,0.48,,18,0,6
5162,Internacional,17,0,0.6,,20,0,8
5162,Fluminense,8,0,0.4,,14,0,8
5163,Corinthians,15,0,0.57,,11,2,9
5163,Sport,10,0,0.43,,8,4,4
5164,Ponte Preta,14,0,0.63,,13,3,4
5164,Avai,4,0,0.37,,6,1,1
5165,Joinville,14,0,0.33,,10,0,8
5165,Cruzeiro,8,0,0.67,,10,3,9
5166,Atletico-MG,24,0,0.6,,10,1,12
5166,Gremio,9,0,0.4,,12,2,3
5167,Vasco,20,0,0.56,,12,1,7
5167,Coritiba,13,0,0.44,,19,0,3
5168,Athletico-PR,13,0,0.63,,10,2,11
5168,Santos,8,0,0.37,,13,3,4
5169,Sao Paulo,5,0,0.66,,4,0,7
5169,Goias,14,0,0.34,,4,1,8
5170,Palmeiras,12,0,0.38,,18,0,3
5170,Flamengo,21,0,0.62,,15,4,6
5171,Avai,13,0,0.36,,15,5,8
5171,Corinthians,10,0,0.64,,8,1,0
5172,Fluminense,19,0,0.58,,14,1,3
5172,Figueirense,5,0,0.42,,18,1,2
5173,Cruzeiro,11,0,0.55,,14,3,5
5173,Internacional,9,0,0.45,,22,0,6
5174,Sport,11,0,0.47,,7,1,3
5174,Ponte Preta,12,0,0.53,,16,2,1
5175,Gremio,17,0,0.69,,10,2,10
5175,Joinville,11,0,0.31,,18,1,4
5176,Chapecoense,13,0,0.36,,12,1,3
5176,Atletico-MG,12,0,0.64,,8,2,7
5177,Goias,13,0,0.51,,16,2,4
5177,Vasco,5,0,0.49,,13,4,2
5178,Santos,17,0,0.59,,14,1,7
5178,Avai,16,0,0.41,,12,1,2
5179,Figueirense,9,0,0.41,,19,8,8
5179,Sport,10,0,0.59,,13,1,6
5180,Coritiba,9,0,0.46,,19,0,5
5180,Chapecoense,11,0,0.54,,17,2,0
5181,Ponte Preta,25,0,0.58,,12,3,6
5181,Gremio,3,0,0.42,,13,1,1
5182,Joinville,11,4,0.46,,26,3,3
5182,Fluminense,20,8,0.54,,15,5,4
5183,Internacional,15,0,0.47,,10,0,8
5183,Athletico-PR,8,0,0.53,,12,2,0
5184,Corinthians,16,0,0.39,,12,0,3
5184,Cruzeiro,12,0,0.61,,7,6,6
5185,Flamengo,22,0,0.44,,25,2,10
5185,Sao Paulo,9,0,0.56,,15,2,5
5186,Atletico-MG,18,0,0.56,,13,5,7
5186,Palmeiras,11,0,0.44,,12,2,2
5187,Vasco,17,0,0.62,,11,3,7
5187,Figueirense,12,0,0.38,,19,0,1
5188,Sao Paulo,16,0,0.47,,16,2,3
5188,Ponte Preta,20,0,0.53,,11,1,7
5189,Gremio,12,0,0.49,,13,2,7
5189,Coritiba,11,0,0.51,,15,1,6
5190,Avai,14,0,0.36,,14,2,5
5190,Internacional,14,0,0.64,,12,1,8
5191,Palmeiras,15,0,0.57,,9,3,3
5191,Joinville,8,0,0.43,,18,1,1
5192,Fluminense,12,2,0.43,,23,0,0
5192,Atletico-MG,13,5,0.57,,16,0,6
5193,Sport,12,0,0.38,,6,3,4
5193,Flamengo,12,0,0.62,,19,2,6
5194,Chapecoense,12,0,0.48,,14,4,7
5194,Corinthians,15,0,0.52,,11,1,5
5195,Cruzeiro,14,0,0.53,,17,1,4
5195,Santos,6,0,0.47,,12,1,2
5196,Athletico-PR,19,0,0.64,,12,0,6
5196,Goias,10,0,0.36,,13,2,3
5197,Joinville,21,0,0.47,,23,0,8
5197,Sao Paulo,8,0,0.53,,14,5,8
5198,Ponte Preta,8,0,0.46,,19,1,5
5198,Cruzeiro,17,0,0.54,,22,1,6
5199,Internacional,10,0,0.39,,22,2,2
5199,Vasco,5,0,0.61,,10,4,6
5200,Flamengo,8,0,0.63,,14,3,2
5200,Avai,14,0,0.37,,18,1,5
5201,Atletico-MG,20,0,0.51,,18,10,10
5201,Athletico-PR,14,0,0.49,,16,1,2
5202,Coritiba,7,0,0.48,,16,2,3
5202,Sport,12,0,0.52,,14,3,4
5203,Corinthians,14,8,0.6,,12,0,8
5203,Fluminense,11,2,0.4,,11,6,3
5204,Goias,9,0,0.4,,11,1,3
5204,Palmeiras,14,0,0.6,,14,2,7
5205,Santos,13,0,0.51,,16,1,4
5205,Chapecoense,13,0,0.49,,12,2,9
5206,Figueirense,14,0,0.65,,14,3,9
5206,Gremio,6,0,0.35,,9,1,4
5207,Sao Paulo,15,0,0.53,,10,0,7
5207,Internacional,5,0,0.47,,10,1,3
5208,Vasco,15,0,0.47,,19,1,5
5208,Atletico-MG,4,0,0.53,,16,5,5
5209,Athletico-PR,18,0,0.77,,15,5,4
5209,Joinville,7,0,0.23,,17,2,2
5210,Cruzeiro,16,0,0.54,,15,5,4
5210,Figueirense,5,0,0.46,,15,1,3
5211,Chapecoense,15,0,0.64,,9,1,9
5211,Ponte Preta,8,0,0.36,,17,1,11
5212,Gremio,18,0,0.74,,15,3,5
5212,Goias,9,0,0.26,,12,0,3
5213,Palmeiras,16,0,0.49,,20,2,11
5213,Corinthians,7,0,0.51,,14,2,1
5214,Avai,12,0,0.52,,19,1,4
5214,Coritiba,10,0,0.48,,22,3,1
5215,Fluminense,7,0,0.53,,13,2,5
5215,Flamengo,20,0,0.47,,24,0,9
5216,Sport,12,0,0.56,,9,0,7
5216,Santos,12,0,0.44,,9,3,1
5217,Ponte Preta,10,0,0.47,,20,0,2
5217,Vasco,12,0,0.53,,23,0,4
5218,Atletico-MG,11,0,0.62,,17,3,5
5218,Avai,11,0,0.38,,16,2,2
5219,Internacional,8,0,0.46,,21,2,3
5219,Palmeiras,7,0,0.54,,23,0,3
5220,Figueirense,14,0,0.51,,7,2,10
5220,Athletico-PR,12,0,0.49,,9,1,6
5221,Coritiba,9,3,0.53,,11,1,3
5221,Fluminense,16,5,0.47,,24,2,7
5222,Santos,15,0,0.48,,11,2,2
5222,Sao Paulo,11,0,0.52,,9,3,2
5223,Corinthians,14,0,0.56,,7,0,4
5223,Gremio,15,0,0.44,,6,2,6
5224,Goias,19,0,0.4,,8,0,6
5224,Sport,10,0,0.6,,6,1,5
5225,Joinville,9,0,0.55,,13,2,2
5225,Chapecoense,7,0,0.45,,10,3,6
5226,Flamengo,10,0,0.46,,18,1,3
5226,Cruzeiro,10,0,0.54,,10,2,7
5227,Coritiba,25,0,0.62,,13,0,4
5227,Internacional,7,0,0.38,,26,0,3
5228,Palmeiras,15,0,0.53,,19,3,4
5228,Figueirense,4,0,0.47,,18,5,4
5229,Ponte Preta,16,0,0.38,,22,1,2
5229,Santos,20,0,0.62,,15,0,10
5230,Corinthians,13,0,0.69,,10,2,8
5230,Joinville,7,0,0.31,,17,3,6
5231,Cruzeiro,12,0,0.35,,17,4,3
5231,Atletico-MG,16,0,0.65,,16,3,9
5232,Gremio,12,0,0.52,,11,1,6
5232,Sao Paulo,14,0,0.48,,13,0,4
5233,Chapecoense,13,0,0.49,,13,1,3
5233,Flamengo,9,0,0.51,,12,3,7
5234,Vasco,14,0,0.44,,18,4,6
5234,Athletico-PR,17,0,0.56,,20,2,13
5235,Avai,13,0,0.65,,18,2,2
5235,Goias,12,0,0.35,,19,2,3
5236,Sport,6,2,0.57,,19,1,3
5236,Fluminense,13,3,0.43,,17,0,2
5237,Joinville,15,0,0.33,,19,3,5
5237,Sport,7,0,0.67,,11,6,3
5238,Fluminense,9,2,0.51,,14,3,5
5238,Palmeiras,12,9,0.49,,19,0,6
5239,Goias,9,0,0.49,,12,0,11
5239,Ponte Preta,8,0,0.51,,11,2,1
5240,Figueirense,7,0,0.63,,16,0,6
5240,Avai,10,0,0.37,,23,0,1
5241,Athletico-PR,16,0,0.48,,13,1,7
5241,Gremio,5,0,0.52,,5,1,2
5242,Santos,13,0,0.44,,7,2,1
5242,Atletico-MG,16,0,0.56,,11,1,3
5243,Internacional,13,0,0.44,,15,4,5
5243,Corinthians,14,0,0.56,,12,1,6
5244,Cruzeiro,12,0,0.53,,15,0,11
5244,Vasco,10,0,0.47,,4,2,11
5245,Sao Paulo,7,0,0.59,,12,2,6
5245,Chapecoense,8,0,0.41,,14,2,3
5246,Flamengo,17,0,0.73,,12,2,10
5246,Coritiba,8,0,0.27,,21,3,0
5247,Palmeiras,14,0,0.41,,22,2,9
5247,Gremio,9,0,0.59,,17,1,2
5248,Internacional,9,0,0.53,,22,2,5
5248,Figueirense,8,0,0.47,,22,0,5
5249,Ponte Preta,9,0,0.4,,14,2,5
5249,Fluminense,10,0,0.6,,14,1,7
5250,Goias,12,0,0.45,,6,2,3
5250,Joinville,7,0,0.55,,12,0,8
5251,Corinthians,14,0,0.57,,8,2,9
5251,Santos,6,0,0.43,,10,3,6
5252,Vasco,14,0,0.44,,13,4,2
5252,Sport,13,0,0.56,,10,2,5
5253,Atletico-MG,14,0,0.45,,16,0,6
5253,Flamengo,11,0,0.55,,16,4,6
5254,Avai,12,0,0.38,,17,3,9
5254,Sao Paulo,11,0,0.62,,19,2,5
5255,Chapecoense,18,0,0.55,,15,2,3
5255,Cruzeiro,5,0,0.45,,12,2,6
5256,Coritiba,9,0,0.38,,19,1,5
5256,Athletico-PR,9,0,0.62,,23,2,5
5257,Fluminense,7,0,0.52,,27,0,0
5257,Goias,14,0,0.48,,15,2,4
5258,Gremio,14,0,0.54,,13,2,3
5258,Avai,13,0,0.46,,12,0,8
5259,Athletico-PR,19,0,0.66,,16,0,13
5259,Ponte Preta,8,0,0.34,,18,4,2
5260,Santos,18,0,0.61,,8,3,5
5260,Internacional,11,0,0.39,,17,1,6
5261,Flamengo,14,0,0.48,,26,2,4
5261,Vasco,7,0,0.52,,21,0,5
5262,Joinville,15,0,0.43,,19,2,5
5262,Atletico-MG,12,0,0.57,,8,5,5
5263,Figueirense,12,0,0.53,,21,3,9
5263,Corinthians,14,0,0.47,,14,0,4
5264,Sao Paulo,14,0,0.56,,13,2,7
5264,Palmeiras,9,0,0.44,,17,0,3
5265,Sport,9,0,0.46,,17,2,4
5265,Chapecoense,15,0,0.54,,8,1,6
5266,Cruzeiro,7,0,0.49,,13,0,3
5266,Coritiba,16,0,0.51,,13,3,6
5267,Internacional,21,0,0.51,,16,3,8
5267,Sport,9,0,0.49,,11,1,4
5268,Coritiba,14,0,0.49,,6,4,9
5268,Atletico-MG,10,0,0.51,,11,0,1
5269,Sao Paulo,11,0,0.58,,12,4,4
5269,Athletico-PR,8,0,0.42,,16,1,0
5270,Avai,14,0,0.41,,18,2,6
5270,Vasco,8,0,0.59,,18,5,3
5271,Flamengo,21,0,0.7,,17,8,9
5271,Joinville,4,0,0.3,,27,0,2
5272,Santos,19,0,0.54,,24,9,6
5272,Fluminense,11,0,0.46,,12,0,4
5273,Cruzeiro,18,0,0.46,,9,4,3
5273,Gremio,3,0,0.54,,15,0,5
5274,Goias,19,0,0.62,,15,0,4
5274,Figueirense,13,0,0.38,,11,3,5
5275,Ponte Preta,10,0,0.42,,17,6,8
5275,Corinthians,13,0,0.58,,15,1,7
5276,Chapecoense,13,0,0.48,,17,0,2
